replicate,period,site,epi.type,epi.load
A-NB-BL-14,aug,Numukamis,Blades,0
A-NB-BL-15,aug,Numukamis,Blades,0
A-NB-DI-1,aug,Numukamis,Diatoms,1.103186023
A-NB-DI-2,aug,Numukamis,Diatoms,0.478141056
A-NB-DI-3,aug,Numukamis,Diatoms,0.556697378
A-NB-DI-4,aug,Numukamis,Diatoms,1.19063942
A-NB-DI-5,aug,Numukamis,Diatoms,0.551809124
A-NB-DI-6,aug,Numukamis,Diatoms,0.966850153
A-NB-DI-7,aug,Numukamis,Diatoms,1.084549638
A-NB-DI-8,aug,Numukamis,Diatoms,0.975
A-NB-DI-9,aug,Numukamis,Diatoms,2.040180296
A-NB-DI-10,aug,Numukamis,Diatoms,1.032757202
A-NB-DI-11,aug,Numukamis,Diatoms,1.069537815
A-NB-DI-12,aug,Numukamis,Diatoms,1.344544432
A-NB-DI-13,aug,Numukamis,Diatoms,1.028224101
A-NB-DI-14,aug,Numukamis,Diatoms,0.446755725
A-NB-DI-15,aug,Numukamis,Diatoms,1.824954901
A-NB-PS-1,aug,Numukamis,Polysiphonia,0.060226105
A-NB-PS-2,aug,Numukamis,Polysiphonia,0.14212261
A-NB-PS-3,aug,Numukamis,Polysiphonia,0.063867684
A-NB-PS-4,aug,Numukamis,Polysiphonia,0
A-NB-PS-5,aug,Numukamis,Polysiphonia,0
A-NB-PS-6,aug,Numukamis,Polysiphonia,0
A-NB-PS-7,aug,Numukamis,Polysiphonia,0
A-NB-PS-8,aug,Numukamis,Polysiphonia,0
A-NB-PS-9,aug,Numukamis,Polysiphonia,0
A-NB-PS-10,aug,Numukamis,Polysiphonia,0
A-NB-PS-11,aug,Numukamis,Polysiphonia,0
A-NB-PS-12,aug,Numukamis,Polysiphonia,0
A-NB-PS-13,aug,Numukamis,Polysiphonia,0
A-NB-PS-14,aug,Numukamis,Polysiphonia,0
A-NB-PS-15,aug,Numukamis,Polysiphonia,0
A-WI-BL-1,aug,Wizard,Blades,1.585412899
A-WI-BL-2,aug,Wizard,Blades,0.858119658
A-WI-BL-3,aug,Wizard,Blades,0.128971459
A-WI-BL-4,aug,Wizard,Blades,0.496094326
A-WI-BL-5,aug,Wizard,Blades,0.068880689
A-WI-BL-6,aug,Wizard,Blades,0.517113402
A-WI-BL-7,aug,Wizard,Blades,0.081160458
A-WI-BL-8,aug,Wizard,Blades,0.047744108
A-WI-BL-9,aug,Wizard,Blades,0.062622721
A-WI-BL-10,aug,Wizard,Blades,0.480455408
A-WI-BL-11,aug,Wizard,Blades,0.416595013
A-WI-BL-12,aug,Wizard,Blades,0.475359712
A-WI-BL-13,aug,Wizard,Blades,0.313205908
A-WI-BL-14,aug,Wizard,Blades,0
A-WI-BL-15,aug,Wizard,Blades,0
A-WI-DI-1,aug,Wizard,Diatoms,0.71084991
A-WI-DI-2,aug,Wizard,Diatoms,0.615262515
A-WI-DI-3,aug,Wizard,Diatoms,0.443187938
A-WI-DI-4,aug,Wizard,Diatoms,0.380176861
A-WI-DI-5,aug,Wizard,Diatoms,0.777244772
A-WI-DI-6,aug,Wizard,Diatoms,0.804027505
A-WI-DI-7,aug,Wizard,Diatoms,0.368306333
A-WI-DI-8,aug,Wizard,Diatoms,0.740186246
A-WI-DI-9,aug,Wizard,Diatoms,0.691851852
A-WI-DI-10,aug,Wizard,Diatoms,0.557503506
A-WI-DI-11,aug,Wizard,Diatoms,0.774826059
A-WI-DI-12,aug,Wizard,Diatoms,0.324104328
A-WI-DI-13,aug,Wizard,Diatoms,0.372014388
A-WI-DI-14,aug,Wizard,Diatoms,0.475282363
A-WI-DI-15,aug,Wizard,Diatoms,0.454574639
A-WI-GA-1,aug,Wizard,Green Algae,0.029062769
A-WI-GA-2,aug,Wizard,Green Algae,0
A-WI-GA-3,aug,Wizard,Green Algae,0
A-WI-GA-4,aug,Wizard,Green Algae,0
A-WI-GA-5,aug,Wizard,Green Algae,0
A-WI-GA-6,aug,Wizard,Green Algae,0
A-WI-GA-7,aug,Wizard,Green Algae,0
A-WI-GA-8,aug,Wizard,Green Algae,0
A-WI-GA-9,aug,Wizard,Green Algae,0
A-WI-GA-10,aug,Wizard,Green Algae,0
A-WI-GA-11,aug,Wizard,Green Algae,0
A-WI-GA-12,aug,Wizard,Green Algae,0
A-WI-GA-13,aug,Wizard,Green Algae,0
A-WI-GA-14,aug,Wizard,Green Algae,0
A-WI-GA-15,aug,Wizard,Green Algae,0
A-WI-HY-01,aug,Wizard,Hydroids,0.081392778
A-WI-HY-02,aug,Wizard,Hydroids,0.09982327
A-WI-HY-03,aug,Wizard,Hydroids,0.122126684
A-WI-HY-04,aug,Wizard,Hydroids,0.013992806
A-WI-HY-05,aug,Wizard,Hydroids,0.003214596
A-WI-HY-06,aug,Wizard,Hydroids,0
A-WI-HY-07,aug,Wizard,Hydroids,0
A-WI-HY-08,aug,Wizard,Hydroids,0
A-WI-HY-09,aug,Wizard,Hydroids,0
A-WI-HY-10,aug,Wizard,Hydroids,0
A-WI-HY-11,aug,Wizard,Hydroids,0
A-WI-HY-12,aug,Wizard,Hydroids,0
A-WI-HY-13,aug,Wizard,Hydroids,0
A-WI-HY-14,aug,Wizard,Hydroids,0
A-WI-HY-15,aug,Wizard,Hydroids,0
